cidade,area,quartos,banheiros,vagas,andar,animal,mobiliado,condominio,aluguel,iptu,seguro_incendio,valor_total
1,240,3,3,4,0,aceita,sim,0.0,8000,1000.0,121,9121
0,64,2,1,1,10,aceita,não,540.0,820,122.0,11,1493
1,443,5,5,4,3,aceita,sim,4172.0,7000,1417.0,89,12680
1,73,2,2,1,12,aceita,não,700.0,1250,150.0,16,2116
1,19,1,1,0,0,não aceita,não,0.0,1200,41.0,16,1257
1,13,1,1,0,2,aceita,não,0.0,2200,42.0,28,2270
1,55,1,1,1,2,aceita,sim,1950.0,5000,375.0,64,7389
1,55,2,2,1,2,aceita,não,600.0,1300,67.0,17,1984
1,82,3,1,1,3,aceita,sim,828.0,2000,109.0,26,2963
1,32,1,1,1,16,aceita,não,533.0,2900,0.0,37,3470
0,60,1,1,0,6,aceita,não,480.0,720,20.0,10,1230
0,64,1,2,1,4,aceita,sim,406.0,1550,0.0,7,1963
1,20,1,1,0,4,aceita,sim,602.0,1800,130.0,23,2555
1,375,4,5,5,1,aceita,não,4793.0,15000,2805.0,191,22790
1,92,2,1,1,7,não aceita,sim,690.0,3950,0.0,51,4691
0,56,2,1,1,1,aceita,não,345.0,950,11.0,13,1319
0,188,2,3,8,0,aceita,não,0.0,3010,584.0,46,3640
1,100,3,2,1,0,aceita,não,0.0,3500,260.0,53,3813
1,192,3,3,2,13,aceita,não,2100.0,7800,634.0,99,10630
1,93,3,2,1,10,aceita,não,1497.0,3500,227.0,45,5269
1,155,3,3,2,0,aceita,não,0.0,2650,233.0,40,2923
1,80,2,2,0,9,não aceita,não,600.0,2550,46.0,33,3229
1,65,2,2,2,14,não aceita,não,907.0,3500,0.0,45,4452
1,320,3,3,4,0,aceita,não,0.0,9000,1000.0,136,10140
1,180,3,5,3,3,aceita,não,2900.0,8100,0.0,103,11100
1,31,1,1,1,4,aceita,não,272.0,3200,64.0,41,3577
1,105,4,2,2,3,aceita,não,1659.0,6500,400.0,83,8642
1,300,3,4,2,9,aceita,sim,2000.0,14000,1084.0,178,17260
0,150,3,2,2,13,aceita,não,1370.0,1800,250.0,23,3443
1,130,3,3,2,0,aceita,não,0.0,6000,84.0,91,6175
1,70,2,1,0,1,aceita,não,521.0,3000,50.0,39,3610
1,120,3,1,4,0,aceita,não,0.0,3500,234.0,53,3787
1,250,3,4,2,0,aceita,não,300.0,3480,360.0,53,4193
1,50,1,1,0,1,aceita,não,325.0,1550,25.0,20,1920
1,240,3,3,3,3,aceita,não,4132.0,3800,952.0,49,8933
1,250,4,4,2,0,não aceita,não,,6600,0.0,100,6700
0,94,3,3,2,1,aceita,não,750.0,2200,192.0,28,3170
1,176,3,4,3,4,aceita,não,1600.0,6500,775.0,83,8958
1,180,3,4,5,0,aceita,não,,3300,266.0,50,3616
1,191,3,3,4,1,aceita,sim,2605.0,15000,1299.0,191,19100
1,25,1,1,0,14,aceita,não,257.0,1698,0.0,22,1977
1,800,4,5,4,9,aceita,não,6000.0,15000,3334.0,191,24530
1,340,3,4,3,0,aceita,sim,0.0,9800,392.0,148,10340
1,90,2,1,0,0,não aceita,não,0.0,1450,50.0,22,1522
0,650,5,4,8,0,aceita,sim,0.0,8500,442.0,128,9070
1,100,2,2,0,1,aceita,não,0.0,2700,265.0,35,3000
1,230,4,4,4,1,aceita,sim,2300.0,13500,1084.0,172,17060
1,190,2,3,2,0,aceita,não,0.0,13050,1284.0,197,14530
1,205,4,4,6,5,aceita,não,2450.0,2720,959.0,35,6164
1,96,3,3,2,8,aceita,não,866.0,1790,90.0,23,2769
1,396,4,4,4,0,aceita,não,0.0,10000,750.0,151,10900
0,74,3,2,1,7,aceita,não,650.0,1600,250.0,21,2521
0,30,1,1,0,5,não aceita,sim,380.0,500,10.0,7,897
1,64,3,2,1,7,aceita,não,522.0,1400,65.0,18,2005
1,105,3,2,2,1,aceita,sim,1544.0,7800,488.0,99,9931
1,50,1,2,1,10,aceita,sim,1050.0,5900,259.0,75,7284
1,60,2,1,0,3,não aceita,não,400.0,1300,0.0,17,1717
1,50,2,1,1,6,aceita,sim,585.0,2000,49.0,26,2660
1,90,2,2,0,0,aceita,não,0.0,1700,38.0,26,1764
1,130,3,2,1,8,não aceita,sim,1200.0,7500,417.0,96,9213
1,20,1,1,0,1,não aceita,sim,,1950,0.0,25,1975
1,400,4,3,2,0,aceita,não,0.0,5650,338.0,85,6073
1,220,3,3,5,0,aceita,não,0.0,7500,0.0,113,7613
1,750,7,6,5,0,aceita,sim,0.0,5800,559.0,88,6447
1,20,1,1,0,0,aceita,sim,602.0,1800,130.0,23,2555
0,140,3,2,2,15,não aceita,não,998.0,2100,283.0,27,3408
1,22,1,1,0,0,não aceita,não,250.0,1080,14.0,14,1358
1,345,2,3,2,4,não aceita,não,3655.0,12000,783.0,153,16590
0,46,2,1,1,3,não aceita,não,250.0,1100,53.0,5,1408
1,35,1,1,1,2,não aceita,sim,550.0,3250,30.0,42,3872
0,72,2,2,1,2,aceita,não,500.0,1200,97.0,16,1813
1,60,1,1,2,2,não aceita,não,3398.0,1900,288.0,25,5611
1,180,3,2,4,0,não aceita,sim,0.0,11000,667.0,166,11830
1,83,3,2,1,9,não aceita,sim,805.0,3300,80.0,42,4227
1,50,1,1,0,1,aceita,não,519.0,1550,28.0,20,2117
1,38,1,1,1,14,não aceita,sim,1620.0,3020,279.0,39,4958
1,140,3,3,2,2,aceita,não,1300.0,2800,292.0,36,4428
0,62,2,1,1,3,aceita,não,485.0,980,48.0,13,1526
1,70,1,1,0,2,aceita,sim,1500.0,4000,284.0,51,5835
0,55,1,1,0,14,aceita,não,600.0,1100,60.0,14,1774
0,60,2,1,1,1,não aceita,não,430.0,815,20.0,6,1271
1,85,2,2,1,6,aceita,não,1250.0,1738,261.0,23,3272
1,134,3,3,3,11,não aceita,não,1655.0,8000,380.0,102,10140
