distrito,latitude,longitude,tipo_de_quarto,preco,numero_minimo_noites,numero_comentarios,numero_de_reservas,disponibilidade_anual
Brooklyn,40.647490000000005,-73.97237,Private room,149,1,9,6,365
Manhattan,40.75362,-73.98376999999999,Entire home/apt,225,1,45,2,355
Manhattan,40.809020000000004,-73.9419,Private room,150,3,0,1,365
Brooklyn,40.685140000000004,-73.95976,Entire home/apt,89,1,270,1,194
Manhattan,40.79851,-73.94399,Entire home/apt,80,10,9,1,0
Manhattan,40.74767,-73.975,Entire home/apt,200,3,74,1,129
Brooklyn,40.68688,-73.95596,Private room,60,45,49,1,0
Manhattan,40.76489,-73.98493,Private room,79,2,430,1,220
Manhattan,40.80178,-73.96723,Private room,79,2,118,1,0
Manhattan,40.713440000000006,-73.99037,Entire home/apt,150,1,160,4,188
Manhattan,40.80316,-73.96545,Entire home/apt,135,5,53,1,6
Manhattan,40.76076,-73.98867,Private room,85,2,188,1,39
Brooklyn,40.66829,-73.98779,Private room,89,4,167,3,314
Manhattan,40.79826,-73.96113000000001,Private room,85,2,113,1,333
Manhattan,40.7353,-74.00525,Entire home/apt,120,90,27,1,0
Brooklyn,40.70837,-73.95352,Entire home/apt,140,2,148,1,46
Brooklyn,40.69169,-73.97185,Entire home/apt,215,2,198,1,321
Manhattan,40.74192,-73.99501,Private room,140,1,260,1,12
Brooklyn,40.67592,-73.94694,Entire home/apt,99,3,53,1,21
Manhattan,40.79685,-73.94872,Entire home/apt,190,7,0,2,249
Brooklyn,40.71842,-73.95718000000001,Entire home/apt,299,3,9,1,0
Brooklyn,40.680690000000006,-73.97706,Private room,130,2,130,6,347
Brooklyn,40.67989,-73.97798,Private room,80,1,39,6,364
Brooklyn,40.680009999999996,-73.97865,Private room,110,2,71,6,304
Brooklyn,40.68371,-73.94028,Entire home/apt,120,2,88,2,233
Brooklyn,40.65599,-73.97519,Private room,60,1,19,2,85
Manhattan,40.867540000000005,-73.92639,Private room,80,4,0,1,0
Manhattan,40.76715,-73.98533,Entire home/apt,150,10,58,1,75
Manhattan,40.86482,-73.92106,Private room,44,3,108,3,311
Manhattan,40.7292,-73.98541999999999,Entire home/apt,180,14,29,1,67
Manhattan,40.82245,-73.95104,Private room,50,3,242,3,355
Manhattan,40.81305,-73.95466,Private room,52,2,88,1,255
Brooklyn,40.722190000000005,-73.93762,Private room,55,4,197,3,284
Manhattan,40.8213,-73.95318,Private room,50,3,273,3,359
Brooklyn,40.6831,-73.95473,Private room,70,1,74,2,269
Brooklyn,40.668690000000005,-73.9878,Private room,89,4,168,3,340
Brooklyn,40.688759999999995,-73.94312,Private room,35,60,0,1,365
Brooklyn,40.701859999999996,-73.92745,Entire home/apt,85,2,231,2,22
Brooklyn,40.63702,-73.96327,Private room,150,1,0,1,365
Manhattan,40.714009999999995,-73.98917,Shared room,40,1,214,4,188
Manhattan,40.7229,-73.98199,Private room,68,2,245,2,96
Brooklyn,40.66278,-73.97966,Entire home/apt,120,3,15,1,345
Brooklyn,40.69673,-73.97584,Private room,120,7,25,1,311
Manhattan,40.79009,-73.97927,Private room,135,4,81,1,273
Manhattan,40.81175,-73.94478000000001,Entire home/apt,150,7,97,1,309
Brooklyn,40.659440000000004,-73.96238000000001,Entire home/apt,150,29,11,1,95
Queens,40.74771,-73.9474,Private room,130,3,248,1,215
Brooklyn,40.68111,-73.95591,Entire home/apt,110,7,61,1,265
Brooklyn,40.68554,-73.9409,Entire home/apt,115,3,11,1,0
Brooklyn,40.69142,-73.97376,Private room,80,3,135,2,192
Brooklyn,40.68043,-73.93934,Private room,80,1,112,3,251
Manhattan,40.78635,-73.97008000000001,Entire home/apt,151,2,73,1,302
Brooklyn,40.7042,-73.9356,Entire home/apt,228,3,82,1,140
Brooklyn,40.73506,-73.95392,Entire home/apt,144,2,328,1,234
Manhattan,40.73961,-73.98074,Entire home/apt,200,7,19,1,257
Brooklyn,40.70881,-73.9593,Entire home/apt,150,30,105,1,30
Manhattan,40.720040000000004,-73.99104,Private room,110,5,19,1,301
Manhattan,40.755309999999994,-73.99293,Private room,69,2,289,2,294
Brooklyn,40.72401,-73.93788,Private room,49,4,138,3,320
Manhattan,40.7221,-73.99775,Entire home/apt,180,30,21,1,154
Brooklyn,40.71185,-73.96204,Private room,80,2,42,1,263
Manhattan,40.74623,-73.9953,Entire home/apt,375,180,5,1,180
Manhattan,40.77065,-73.95269,Entire home/apt,250,2,66,2,231
Brooklyn,40.67811,-73.96428,Entire home/apt,200,30,143,2,297
Brooklyn,40.69,-73.96788000000001,Private room,55,7,27,2,292
Manhattan,40.75979,-73.99119,Private room,52,30,191,1,191
Brooklyn,40.673429999999996,-73.98338000000001,Entire home/apt,225,3,4,1,0
Manhattan,40.726490000000005,-73.97904,Private room,80,1,338,2,72
Brooklyn,40.70933,-73.96791999999999,Entire home/apt,275,1,148,1,362
Manhattan,40.72298,-73.98474,Private room,99,1,106,2,336
Manhattan,40.80164,-73.93921999999999,Entire home/apt,225,4,190,1,215
Manhattan,40.72162,-73.98008,Entire home/apt,230,9,49,1,116
Manhattan,40.76342,-73.98865,Private room,51,7,23,1,88
Manhattan,40.83139,-73.94095,Private room,65,2,49,2,336
Brooklyn,40.68346,-73.96374,Private room,105,2,105,1,304
Manhattan,40.72828,-73.98801,Entire home/apt,190,5,21,1,224
Manhattan,40.76865,-73.95058,Private room,200,1,142,1,322
Queens,40.75038,-73.90334,Private room,70,30,25,1,324
Brooklyn,40.6932,-73.97267,Private room,95,3,143,1,132
Manhattan,40.74138,-74.00197,Private room,150,3,167,1,295
Brooklyn,40.71154,-73.96112,Private room,145,3,61,4,238
Manhattan,40.82915,-73.95136,Entire home/apt,110,31,54,1,209
Manhattan,40.718509999999995,-73.98892,Entire home/apt,285,5,70,1,328
Brooklyn,40.65401,-73.96323000000001,Entire home/apt,130,6,16,1,38
Manhattan,40.7114,-73.98794000000001,Private room,94,30,94,1,188
Brooklyn,40.69723,-73.99268000000001,Entire home/apt,800,1,25,1,7
Brooklyn,40.71833,-73.95748,Entire home/apt,105,3,61,1,272
Manhattan,40.72334,-73.9844,Private room,60,3,194,1,26
Manhattan,40.72912,-73.98057,Private room,50,1,2,1,0
Brooklyn,40.71156,-73.96218,Private room,85,3,174,4,288
Brooklyn,40.70032,-73.9383,Private room,65,4,24,1,317
Brooklyn,40.68233,-73.97261,Entire home/apt,131,4,166,1,207
Brooklyn,40.68634,-73.96600000000001,Private room,98,7,16,6,185
Brooklyn,40.68035,-73.97162,Entire home/apt,250,7,21,1,158
Brooklyn,40.70984,-73.95775,Entire home/apt,100,5,168,1,0
Brooklyn,40.70093,-73.92609,Entire home/apt,105,3,118,2,9
Manhattan,40.79764,-73.96177,Entire home/apt,140,3,81,1,198
Manhattan,40.82803,-73.94731,Private room,89,1,1,1,365
Manhattan,40.74008,-74.00271,Private room,98,30,30,2,364
Brooklyn,40.684129999999996,-73.92357,Entire home/apt,125,7,139,2,311
Manhattan,40.822790000000005,-73.95139,Private room,60,3,11,3,219
Brooklyn,40.67967,-74.00154,Entire home/apt,175,2,233,3,342
Manhattan,40.83927,-73.94281,Private room,65,2,68,1,312
Manhattan,40.730959999999996,-74.00319,Entire home/apt,500,4,46,2,243
Brooklyn,40.71332,-73.94176999999999,Private room,101,3,335,1,152
Brooklyn,40.66941,-73.98109000000001,Entire home/apt,220,30,88,1,9
Brooklyn,40.68373,-73.92376999999999,Entire home/apt,125,90,162,2,137
Brooklyn,40.71459,-73.94844,Entire home/apt,80,30,29,1,222
Manhattan,40.8092,-73.94421,Private room,100,2,170,1,346
Brooklyn,40.68157,-73.98989,Entire home/apt,200,30,19,1,208
Manhattan,40.75527,-73.99291,Private room,59,2,334,2,279
Brooklyn,40.68698,-73.96571999999999,Private room,125,2,19,6,250
Manhattan,40.7288,-73.98192,Entire home/apt,140,7,12,1,164
Brooklyn,40.66853,-73.98912,Entire home/apt,120,30,467,2,192
Manhattan,40.7254,-73.98156999999999,Entire home/apt,350,2,7,4,298
Manhattan,40.742940000000004,-73.98009,Entire home/apt,199,5,38,1,260
Brooklyn,40.71942,-73.95748,Entire home/apt,325,3,324,1,107
Manhattan,40.77823,-73.97636999999999,Entire home/apt,235,6,27,1,199
Manhattan,40.72555,-73.97965,Entire home/apt,225,1,115,4,299
Brooklyn,40.66831,-73.98604,Private room,99,2,354,3,20
Manhattan,40.82754,-73.94919,Entire home/apt,170,2,195,1,318
Brooklyn,40.66499,-73.97925,Entire home/apt,400,2,16,2,216
Manhattan,40.778420000000004,-73.97556,Entire home/apt,170,7,13,1,224
Manhattan,40.72245,-73.98527,Entire home/apt,100,4,25,1,0
Brooklyn,40.65593,-73.96053,Private room,75,2,9,1,324
Brooklyn,40.719229999999996,-73.96468,Private room,90,1,9,1,245
Manhattan,40.778,-73.94821999999999,Entire home/apt,150,5,21,1,189
Manhattan,40.85879,-73.93128,Private room,85,15,36,1,307
Brooklyn,40.68332,-73.9547,Private room,70,3,63,2,310
Manhattan,40.816179999999996,-73.94894000000001,Entire home/apt,120,3,155,3,213
Brooklyn,40.68414,-73.96351,Private room,89,3,260,1,278
Manhattan,40.72392,-73.99143000000001,Entire home/apt,185,5,73,1,209
Brooklyn,40.73494,-73.9503,Private room,50,3,193,1,0
Manhattan,40.713409999999996,-73.98855999999999,Entire home/apt,105,3,32,1,16
Manhattan,40.767540000000004,-73.98399,Private room,130,2,50,3,234
Manhattan,40.73442,-74.00303000000001,Entire home/apt,115,29,26,1,12
Brooklyn,40.631879999999995,-73.93248,Private room,77,2,2,1,178
Brooklyn,40.6873,-73.9634,Private room,76,2,426,3,275
Brooklyn,40.682959999999994,-73.93661999999999,Entire home/apt,125,3,227,2,163
Brooklyn,40.6863,-73.96765,Private room,135,4,84,3,365
Brooklyn,40.73409,-73.95348,Entire home/apt,250,29,3,1,34
Brooklyn,40.71561,-73.94835,Entire home/apt,199,3,10,1,280
Brooklyn,40.6857,-73.99183000000001,Entire home/apt,140,2,4,1,0
Queens,40.74028,-73.83168,Private room,140,2,1,1,1
Brooklyn,40.682809999999996,-73.93524000000001,Entire home/apt,115,3,124,2,170
Brooklyn,40.715959999999995,-73.93938,Entire home/apt,160,3,11,1,188
Brooklyn,40.71492,-73.95935,Entire home/apt,195,4,240,1,214
Manhattan,40.72354,-73.98295,Entire home/apt,195,3,30,1,248
Brooklyn,40.71165,-73.96087,Private room,80,3,200,4,262
Brooklyn,40.69101,-73.97312,Private room,44,8,27,5,280
Manhattan,40.73474,-74.00101,Private room,156,4,79,1,307
Brooklyn,40.67386,-73.96641,Private room,85,15,9,1,339
Brooklyn,40.71536,-73.96056999999999,Private room,125,3,155,1,1
Brooklyn,40.6741,-73.96595,Entire home/apt,115,15,4,1,269
Manhattan,40.79295,-73.93997,Private room,69,2,34,1,10
Manhattan,40.73226,-74.00401,Entire home/apt,225,45,134,1,312
Brooklyn,40.71363,-73.96398,Entire home/apt,125,6,27,1,189
Manhattan,40.77711,-73.9527,Entire home/apt,219,4,126,2,290
Brooklyn,40.685590000000005,-73.98094,Entire home/apt,475,3,23,1,230
Manhattan,40.77456,-73.95323,Entire home/apt,99,1,234,2,164
Brooklyn,40.710879999999996,-73.95055,Private room,69,4,202,2,53
Queens,40.74559,-73.92313,Private room,79,30,28,1,126
Brooklyn,40.68306,-73.94659,Entire home/apt,135,2,309,2,3
Brooklyn,40.70207,-73.98571,Private room,250,3,14,1,189
Manhattan,40.76123,-73.9642,Entire home/apt,250,3,4,1,365
Brooklyn,40.66858,-73.99083,Entire home/apt,250,2,80,1,0
Manhattan,40.827040000000004,-73.94906999999999,Entire home/apt,80,3,2,1,0
Brooklyn,40.68843,-73.96408000000001,Private room,70,2,294,3,336
Brooklyn,40.6783,-74.00135,Entire home/apt,165,2,150,3,342
Staten Island,40.64524,-74.08088000000001,Private room,70,2,166,1,312
Brooklyn,40.70641,-73.91765,Private room,50,2,47,1,37
Bronx,40.83232,-73.93184000000001,Private room,40,1,219,3,353
Brooklyn,40.71045,-73.9677,Entire home/apt,150,2,193,1,177
Manhattan,40.72518,-73.98034,Private room,125,1,84,4,310
Manhattan,40.70666,-74.01374,Entire home/apt,196,3,114,1,0
Brooklyn,40.690979999999996,-73.97113,Private room,110,2,213,2,321
Manhattan,40.737559999999995,-74.00405,Entire home/apt,170,3,86,1,246
Manhattan,40.815259999999995,-73.94791,Entire home/apt,165,3,80,3,231
Manhattan,40.73423,-74.0046,Entire home/apt,150,26,38,1,225
Manhattan,40.82374,-73.9373,Entire home/apt,100,2,18,1,0
Brooklyn,40.688629999999996,-73.97691,Private room,65,2,206,2,0
Queens,40.70382,-73.89797,Entire home/apt,350,8,10,5,365
Manhattan,40.80549,-73.95924000000001,Private room,99,4,122,2,233
Brooklyn,40.71627,-73.9587,Entire home/apt,200,4,33,1,1
Brooklyn,40.67994,-73.97863000000001,Entire home/apt,150,5,52,1,18
Brooklyn,40.67992,-73.9475,Private room,90,3,126,4,343
Brooklyn,40.67868,-73.97306999999999,Private room,120,3,51,3,250
Manhattan,40.76834,-73.95334,Private room,75,3,199,1,326
Brooklyn,40.68237,-73.9415,Entire home/apt,175,26,30,1,364
Manhattan,40.74031,-73.99999,Entire home/apt,125,3,3,1,0
Manhattan,40.76307,-73.99665,Entire home/apt,275,1,41,1,299
Manhattan,40.71882,-73.98852,Entire home/apt,299,2,109,1,207
Brooklyn,40.6693,-73.98804,Entire home/apt,135,5,151,3,162
Manhattan,40.77333,-73.95199000000001,Private room,130,14,0,2,0
Manhattan,40.72319,-73.99201,Private room,83,1,285,1,7
Manhattan,40.74859,-73.99671,Private room,123,1,375,1,328
Queens,40.67252,-73.76597,Private room,55,2,52,2,365
Manhattan,40.762440000000005,-73.99271,Entire home/apt,195,5,10,1,0
Brooklyn,40.69546,-73.93503,Private room,80,2,11,1,0
Queens,40.717220000000005,-73.87856,Entire home/apt,98,30,33,5,240
Queens,40.70234,-73.89816,Private room,140,7,6,5,365
Queens,40.71546,-73.87854,Entire home/apt,265,7,38,5,365
Brooklyn,40.7195,-73.95976,Entire home/apt,249,2,358,2,164
Manhattan,40.76548,-73.98474,Shared room,105,6,10,1,363
Manhattan,40.80234,-73.95603,Private room,200,30,0,1,365
Brooklyn,40.6787,-73.97261999999999,Private room,100,2,226,3,250
Manhattan,40.81035,-73.94598,Entire home/apt,121,1,104,5,247
Bronx,40.83075,-73.93058,Private room,45,1,138,3,323
Manhattan,40.79958,-73.94275,Private room,100,5,204,1,192
Brooklyn,40.71625,-73.93845,Entire home/apt,140,2,253,1,125
Brooklyn,40.6829,-73.93549,Private room,71,2,23,1,91
Manhattan,40.72773,-73.99134000000001,Private room,130,2,115,1,75
Manhattan,40.728609999999996,-74.0049,Entire home/apt,199,5,129,1,286
Brooklyn,40.709790000000005,-73.95161999999999,Private room,69,4,82,2,60
Brooklyn,40.68656,-73.97525,Private room,68,3,37,1,0
Manhattan,40.72752,-73.98432,Entire home/apt,130,1,204,1,192
Brooklyn,40.729,-73.95829,Entire home/apt,195,2,69,1,58
Manhattan,40.81219,-73.94499,Private room,64,1,192,5,245
Queens,40.77185,-73.90502,Entire home/apt,140,2,17,1,292
Brooklyn,40.68926,-73.99386,Entire home/apt,159,2,222,1,279
Manhattan,40.72821,-73.98701,Entire home/apt,189,3,205,1,0
Manhattan,40.7672,-73.98508000000001,Entire home/apt,250,3,94,1,3
Manhattan,40.73012,-73.99053,Entire home/apt,239,3,7,1,351
Manhattan,40.7403,-73.98498000000001,Entire home/apt,305,2,108,1,201
Manhattan,40.809309999999996,-73.94343,Entire home/apt,155,3,222,2,232
Manhattan,40.8251,-73.94287,Private room,60,1,458,2,258
Brooklyn,40.6585,-73.98397,Private room,135,2,21,1,272
Manhattan,40.76193,-73.9501,Private room,120,7,17,1,341
Manhattan,40.72052,-73.98589,Entire home/apt,150,3,41,1,244
Queens,40.70411,-73.89934000000001,Entire home/apt,140,14,1,5,365
Brooklyn,40.73401,-73.95966999999999,Entire home/apt,135,2,69,1,12
Manhattan,40.71756,-73.99503,Entire home/apt,250,4,18,2,265
Manhattan,40.7589,-73.96991,Entire home/apt,250,30,82,1,0
Manhattan,40.72003,-74.00262,Entire home/apt,500,4,94,1,329
Manhattan,40.73194,-73.99474000000001,Entire home/apt,225,5,10,1,91
Manhattan,40.79163,-73.94573000000001,Entire home/apt,125,28,183,2,365
Manhattan,40.8118,-73.94434,Private room,92,1,189,5,253
Manhattan,40.81583,-73.94707,Private room,175,2,1,1,365
Manhattan,40.72654,-73.98049,Entire home/apt,99,2,127,1,320
Manhattan,40.80021,-73.96070999999999,Entire home/apt,195,4,4,1,0
Manhattan,40.80942,-73.93936,Entire home/apt,140,3,135,3,192
Manhattan,40.719609999999996,-73.9954,Entire home/apt,135,2,21,1,0
Manhattan,40.74358,-74.00027,Entire home/apt,500,2,35,1,348
Manhattan,40.80335,-73.9575,Private room,80,14,10,2,0
Manhattan,40.71445,-73.9908,Private room,120,4,171,2,353
Manhattan,40.757490000000004,-73.96897,Entire home/apt,110,200,92,1,140
Brooklyn,40.644459999999995,-73.9503,Entire home/apt,65,3,238,1,2
Manhattan,40.7268,-73.99079,Entire home/apt,130,50,56,1,56
Brooklyn,40.688,-73.9171,Entire home/apt,99,3,111,1,68
Staten Island,40.63536,-74.08537,Private room,36,2,193,6,360
Staten Island,40.63627,-74.08543,Private room,37,2,147,6,0
Staten Island,40.63518,-74.08546,Private room,37,2,177,6,320
Manhattan,40.72477,-73.98161,Entire home/apt,175,3,185,2,326
Manhattan,40.74238,-73.99566999999999,Entire home/apt,205,9,62,2,76
Brooklyn,40.72945,-73.95510999999999,Entire home/apt,285,3,124,3,279
Brooklyn,40.70763,-73.95177,Private room,59,2,181,2,15
Staten Island,40.634809999999995,-74.08519,Private room,36,2,333,6,340
Queens,40.753840000000004,-73.91433,Entire home/apt,99,5,441,1,226
Brooklyn,40.641059999999996,-73.97426,Private room,39,1,45,2,365
Brooklyn,40.66793,-73.98326999999999,Private room,60,14,9,2,0
Bronx,40.81309,-73.85514,Private room,90,2,0,7,349
Bronx,40.88057,-73.83572,Entire home/apt,105,2,38,13,365
Brooklyn,40.682359999999996,-73.94314,Entire home/apt,135,2,248,2,11
Manhattan,40.72185,-73.98246,Entire home/apt,390,5,143,2,316
Brooklyn,40.68503,-73.95385,Private room,70,3,36,4,281
Manhattan,40.866479999999996,-73.9263,Private room,75,7,0,2,323
Brooklyn,40.7069,-73.95467,Private room,60,17,14,4,362
Manhattan,40.72807,-73.98594,Entire home/apt,200,3,0,1,0
Brooklyn,40.6778,-73.94339000000001,Private room,100,3,279,1,301
