state,number,Month
Acre,0.0,1998-1
Acre,0.0,1999-1
Acre,0.0,2000-1
Acre,0.0,2001-1
Acre,0.0,2002-1
Acre,10.0,2003-1
Acre,0.0,2004-1
Acre,12.0,2005-1
Acre,4.0,2006-1
Acre,0.0,2007-1
Acre,0.0,2008-1
Acre,0.0,2009-1
Acre,1.0,2010-1
Acre,0.0,2011-1
Acre,0.0,2012-1
Acre,0.0,2013-1
Acre,0.0,2014-1
Acre,1.0,2015-1
Acre,12.0,2016-1
Acre,0.0,2017-1
Acre,0.0,1998-2
Acre,0.0,1999-2
Acre,0.0,2000-2
Acre,0.0,2001-2
Acre,1.0,2002-2
Acre,0.0,2003-2
Acre,3.0,2004-2
Acre,0.0,2005-2
Acre,0.0,2006-2
Acre,5.0,2007-2
Acre,0.0,2008-2
Acre,2.0,2009-2
Acre,0.0,2010-2
Acre,0.0,2011-2
Acre,0.0,2012-2
Acre,0.0,2013-2
Acre,0.0,2014-2
Acre,2.0,2015-2
Acre,5.0,2016-2
Acre,1.0,2017-2
Acre,0.0,1998-3
Acre,0.0,1999-3
Acre,11.0,2000-3
Acre,0.0,2001-3
Acre,0.0,2002-3
Acre,0.0,2003-3
Acre,0.0,2004-3
Acre,3.0,2005-3
Acre,0.0,2006-3
Acre,2.0,2007-3
Acre,0.0,2008-3
Acre,1.0,2009-3
Acre,0.0,2010-3
Acre,0.0,2011-3
Acre,1.0,2012-3
Acre,2.0,2013-3
Acre,1.0,2014-3
Acre,2.0,2015-3
Acre,0.0,2016-3
Acre,0.0,2017-3
Acre,0.0,1998-4
Acre,0.0,1999-4
Acre,1.0,2000-4
Acre,0.0,2001-4
Acre,0.0,2002-4
Acre,1.0,2003-4
Acre,2.0,2004-4
Acre,1.0,2005-4
Acre,0.0,2006-4
Acre,0.0,2007-4
Acre,0.0,2008-4
Acre,0.0,2009-4
Acre,3.0,2010-4
Acre,2.0,2011-4
Acre,1.0,2012-4
Acre,19.0,2013-4
Acre,7.0,2014-4
Acre,3.0,2015-4
Acre,0.0,2016-4
Acre,1.0,2017-4
Acre,0.0,1998-5
Acre,0.0,1999-5
Acre,1.0,2000-5
Acre,0.0,2001-5
Acre,0.0,2002-5
Acre,6.0,2003-5
Acre,7.0,2004-5
Acre,2.0,2005-5
Acre,8.0,2006-5
Acre,1.0,2007-5
Acre,0.0,2008-5
Acre,3.0,2009-5
Acre,9.0,2010-5
Acre,3.0,2011-5
Acre,3.0,2012-5
Acre,4.0,2013-5
Acre,1.0,2014-5
Acre,2.0,2015-5
Acre,21.0,2016-5
Acre,10.0,2017-5
Acre,3.0,1998-6
Acre,0.0,1999-6
Acre,1.0,2000-6
Acre,1.0,2001-6
Acre,0.0,2002-6
Acre,0.0,2003-6
Acre,5.0,2004-6
Acre,27.0,2005-6
Acre,1.0,2006-6
Acre,4.0,2007-6
Acre,0.0,2008-6
Acre,0.0,2009-6
