Bairro,Endereco,Quartos,Tipo,Preco,Distancia do aeroporto,CEP,Banheiro,Vagas,Area terreno,Area construida,Ano da construcao,Latitude,Longitude
South Melbourne,403 Park St,3,casa,,2.1,3205,2,0,104,125,1800,-37.83702,144.95142
Collingwood,2/79 Oxford St,2,kitnet,855000,1.6,3066,1,1,2886,122,1830,-37.8042,144.9845
Fitzroy,11 Henry St,2,casa,677000,1.6,3065,1,0,67,,1850,-37.7969,144.9759
St Kilda,51/167 Fitzroy St,3,kitnet,1600000,6.1,3182,2,2,,3,1850,-37.8584,144.9802
Prahran,602/220 Commercial Rd,2,kitnet,841000,4.5,3181,2,1,,101,1850,-37847,144.9936
Richmond,22a Stanley St,3,casa,1600000,2.6,3121,2,2,80,144,1850,-37.8233,144.9947
Fitzroy,52 Nicholson St,4,casa,3310000,1.6,3065,4,2,337,291,1854,-37.8052,144.9739
South Melbourne,352 Moray St,4,casa,2260000,2.1,3205,3,0,190,232,1856,-37.8377,144.9653
St Kilda,96 Pakington St,4,casa,,6.1,3182,2,1,467,,1857,-37.8661,144.9901
Carlton,2/100 Keppel St,2,apartamento,960000,1.8,3053,2,1,,90,1860,-37.79468,144.96766
Port Melbourne,172 Liardet St,3,casa,,3.8,3207,2,1,200,96,1860,-37.8375,144.9408
Abbotsford,17 Raphael St,4,casa,,2.5,3067,2,0,230,147,1860,-37.8066,144.9936
South Melbourne,315 Moray St,4,casa,2180000,2.1,3205,3,1,200,153,1860,-37836,144965
Port Melbourne,175 Stokes St,3,casa,2200000,3.8,3207,2,0,250,280,1863,-37.8381,144.9391
South Melbourne,52 Eastern Rd,3,casa,2525000,2.1,3205,2,1,234,,1863,-37.8355,144.9663
St Kilda,7 Robe St,3,casa,2720000,6.1,3182,2,0,367,,1868,-37.8658,144.9766
West Melbourne,218 Adderley St,3,casa,1750000,1.9,3003,1,1,160,,1870,-37.75228,144.88914
Northcote,13 Helen St,4,casa,1950000,5.5,3070,1,2,608,,1870,-37.7731,144.9967
Kew,62 Wiltshire Dr,3,apartamento,690000,5.6,3101,1,2,111,3,1872,-37.79413,
West Melbourne,47 Hawke St,5,casa,,1.9,3003,1,1,221,,1872,-37.8065,144.9479
Parkville,152 Park Dr,2,casa,2200000,2.6,3052,2,1,190,172,1875,-37.7928,144.9575
Melbourne,804/394 Collins St,2,kitnet,,2.8,3000,2,2,,78,1876,-37.8168,144.9612
South Melbourne,372 Dorcas St,3,casa,2300000,2.1,3205,2,2,,260,1877,-37.8352,144952
Flemington,8/300 Racecourse Rd,1,kitnet,395000,4.4,3031,1,1,818,50,1880,-37788,144.9306
Carlton,100 Faraday St,2,casa,1010000,1.8,3053,1,0,101,60,1880,-37.7989,144.9713
Collingwood,178 Keele St,2,casa,,1.6,3066,1,0,122,64,1880,-37.7976,144.9929
Fitzroy North,470 Brunswick St,2,casa,860000,3.5,3068,1,0,104,70,1880,-37.7927,144.9796
Prahran,47 Clifton St,2,casa,815000,4.5,3181,1,0,96,71,1880,-37.8501,144.9953
North Melbourne,12 Curzon St,2,casa,885000,2.3,3051,1,1,111,73,1880,-37.8044,144.9481
South Yarra,6 Medley St,2,casa,,3.3,3141,1,0,151,74,1880,-37.8431,144.9932
Carlton,120 Faraday St,2,casa,,1.8,3053,1,1,104,75,1880,-37.7988,144.9707
Carlton North,94 Princes St,2,casa,,3.2,3054,1,0,115,78,1880,-37.7925,144.9724
Armadale,12 Baldwin St,3,casa,,6.3,3143,1,0,151,80,1880,-37.8549,145.0219
Fitzroy,135 George St,2,casa,,1.6,3065,1,2,356,80,1880,-37.8047,144.9807
Yarraville,25 Norfolk St,3,casa,950000,7,3013,1,2,240,84,1880,-37.8202,144.8896
Clifton Hill,66 Noone St,2,casa,780000,3.4,3068,1,1,155,85,1880,-37.7934,144.9922
Collingwood,5 Charlotte St,2,casa,1000000,1.6,3066,1,2,159,86,1880,-37.7962,144.9887
Fitzroy North,80 Michael St,2,casa,,3.5,3068,1,0,176,89,1880,-37.78562,144.98238
Collingwood,6/78 Oxford St,2,kitnet,910000,1.6,3066,1,1,,97,1880,-37.8035,144985
Yarraville,24 Ovens St,3,casa,,7,3013,1,0,316,98,1880,-37.8182,144.8922
Collingwood,1/78 Oxford St,2,apartamento,945000,1.6,3066,1,1,15900,98,1880,-37.80352,144.98503
Yarraville,3 Cuming St,2,casa,856000,7,3013,1,1,261,100,1880,-37.8157,144887
Brunswick,132 Gold St,3,casa,,5.2,3056,1,1,182,104,1880,-37774,144.9546
Collingwood,84 Budd St,3,casa,1075000,1.6,3066,1,0,183,104,1880,-37.7948,144.9875
Port Melbourne,89 Cruikshank St,3,casa,1470000,3.8,3207,1,0,153,109,1880,-37.8382,144.9469
South Melbourne,144 Cobden St,3,casa,1405000,2.1,3205,1,1,181,117,1880,-37.8365,144.9631
Clifton Hill,3 Hodgkinson St,3,casa,1360000,3.4,3068,1,0,118,118,1880,-37.7921,144.9858
Fitzroy North,167 Alexandra Pde,2,casa,846000,3.5,3068,1,0,160,119,1880,-37.79327,144.98358
Brunswick,46 Tinning St,2,casa,765000,5.2,3056,1,1,199,120,1880,-37759,144.9597
Albert Park,81 Richardson St,3,casa,,3.3,3206,1,2,316,125,1880,-37.8449,144.9536
South Melbourne,168 Napier St,3,casa,,2.1,3205,1,0,128,141,1880,-37.8364,144.9614
Parkville,154 Park Dr,2,casa,,2.6,3052,1,0,262,149,1880,-37.7928,144.9576
Newport,53 Mason St,4,casa,1115000,8.4,3015,1,1,,163,1880,-37.8423,144.8795
South Melbourne,194 Napier St,4,casa,,2.1,3205,1,1,165,169,1880,-37.8366,144.9604
Hawthorn,215 Auburn Rd,3,casa,,4.6,3122,1,0,217,171,1880,-37.82772,145.02607
Hawthorn East,18 Gillman St,3,casa,1890000,7.5,3123,1,2,477,173,1880,-37.8257,145.0514
Williamstown,139 Cecil St,4,casa,2255000,8,3016,1,3,765,257,1880,-37.8621,144.8999
South Melbourne,55 Cobden St,2,casa,1024000,2.1,3205,1,0,102,,1880,-37.83804,144.95852
Port Melbourne,89 Raglan St,4,casa,1502000,3.8,3207,1,2,146,,1880,-37.8343,144.9452
West Melbourne,53 Miller St,2,casa,1053000,1.9,3003,1,0,147,,1880,-37.80943,144.94512
Brunswick,35 Charles St,2,casa,871000,5.2,3056,1,1,215,,1880,-37.7722,144.9637
Coburg,28 Rodda St,3,casa,985000,7.8,3058,1,1,309,,1880,-37.7434,144.9697
Brunswick,9 Goodman St,2,casa,955000,5.2,3056,1,0,1328,,1880,-37.77313,144.95677
Coburg,11/5 Industry La,2,kitnet,485000,7.8,3058,2,1,,96,1880,-37.7367,144.9701
Coburg,65 Darling St,1,ktnet,500000,7.0,3058,2,1,,100,1880,-37.7369,144.9301
Moonee Ponds,65 Darling St,3,casa,1240000,6.9,3039,2,2,275,106,1880,-37.76785,144.91729
West Melbourne,34 Eades Pl,3,casa,,1.9,3003,2,0,57,110,1880,-37.8058,144.9511
Abbotsford,42 Henry St,3,casa,1200000,2.5,3067,2,1,113,110,1880,-37.8056,144993
South Yarra,49 Leopold St,4,casa,2600000,3.3,3141,2,2,141,127,1880,-37.8366,144.9827
Fitzroy North,59 Newry St,3,casa,,3.5,3068,2,0,163,128,1880,-37.7906,144.9804
Prahran,68 Donald St,3,casa,,4.5,3181,2,1,197,130,1880,-37.8467,144.9871
Carlton,96 Barkly St,3,casa,,1.8,3053,2,0,110,143,1880,-37.7995,144.9717
South Melbourne,32 Martin St,3,casa,,2.1,3205,2,0,141,143,1880,-37.8387,144959
Albert Park,27 Barrett St,4,casa,2140000,3.3,3206,2,1,183,145,1880,-37.8434,144.9495
