bairro,endereco,quartos,tipo,preco,distancia_aeroporto,cep,banheiros,vagas,area_terreno,area_construida,ano_construcao,latitude,longitude
Collingwood,2/79 Oxford St,2,kitnet,855000.0,1.6,3066.0,1,1,2886.0,122.0,1830.0,-37.8042,144.9845
Fitzroy,52 Nicholson St,4,casa,3310000.0,1.6,3065.0,4,2,337.0,291.0,1854.0,-37.8052,144.9739
Parkville,152 Park Dr,2,casa,2200000.0,2.6,3052.0,2,1,190.0,172.0,1875.0,-37.7928,144.9575
Carlton,100 Faraday St,2,casa,1010000.0,1.8,3053.0,1,0,101.0,60.0,1880.0,-37.7989,144.9713
Fitzroy North,470 Brunswick St,2,casa,860000.0,3.5,3068.0,1,0,104.0,70.0,1880.0,-37.7927,144.9796
Prahran,47 Clifton St,2,casa,815000.0,4.5,3181.0,1,0,96.0,71.0,1880.0,-37.8501,144.9953
North Melbourne,12 Curzon St,2,casa,885000.0,2.3,3051.0,1,1,111.0,73.0,1880.0,-37.8044,144.9481
Yarraville,25 Norfolk St,3,casa,950000.0,7.0,3013.0,1,2,240.0,84.0,1880.0,-37.8202,144.8896
Clifton Hill,66 Noone St,2,casa,780000.0,3.4,3068.0,1,1,155.0,85.0,1880.0,-37.7934,144.9922
Collingwood,5 Charlotte St,2,casa,1000000.0,1.6,3066.0,1,2,159.0,86.0,1880.0,-37.7962,144.9887
Collingwood,1/78 Oxford St,2,apartamento,945000.0,1.6,3066.0,1,1,15900.0,98.0,1880.0,-37.80352,144.98503
Collingwood,84 Budd St,3,casa,1075000.0,1.6,3066.0,1,0,183.0,104.0,1880.0,-37.7948,144.9875
Port Melbourne,89 Cruikshank St,3,casa,1470000.0,3.8,3207.0,1,0,153.0,109.0,1880.0,-37.8382,144.9469
South Melbourne,144 Cobden St,3,casa,1405000.0,2.1,3205.0,1,1,181.0,117.0,1880.0,-37.8365,144.9631
Fitzroy North,167 Alexandra Pde,2,casa,846000.0,3.5,3068.0,1,0,160.0,119.0,1880.0,-37.79327,144.98358000000005
Hawthorn East,18 Gillman St,3,casa,1890000.0,7.5,3123.0,1,2,477.0,173.0,1880.0,-37.8257,145.0514
Williamstown,139 Cecil St,4,casa,2255000.0,8.0,3016.0,1,3,765.0,257.0,1880.0,-37.8621,144.8999
Moonee Ponds,65 Darling St,3,casa,1240000.0,6.9,3039.0,2,2,275.0,106.0,1880.0,-37.76785,144.91728999999995
South Yarra,49 Leopold St,4,casa,2600000.0,3.3,3141.0,2,2,141.0,127.0,1880.0,-37.8366,144.9827
Albert Park,27 Barrett St,4,casa,2140000.0,3.3,3206.0,2,1,183.0,145.0,1880.0,-37.8434,144.9495
Cremorne,443 Punt Rd,3,casa,1280000.0,2.5,3121.0,2,2,324.0,165.0,1880.0,-37.8278,144.9885
Cremorne,443 Punt Rd,3,casa,1475000.0,2.5,3121.0,2,2,324.0,165.0,1880.0,-37.8278,144.9885
Moonee Ponds,43 Chaucer St,3,casa,1440000.0,6.9,3039.0,2,1,287.0,196.0,1880.0,-37.7698,144.9214
St Kilda,30 Odessa St,4,casa,1950000.0,6.1,3182.0,2,2,436.0,211.0,1880.0,-37.8629,144.9887
Port Melbourne,203 Station St,3,casa,2400000.0,3.8,3207.0,2,2,368.0,226.0,1880.0,-37.83473,144.9389
South Yarra,18 Avoca St,4,casa,5700000.0,3.3,3141.0,2,0,292.0,272.0,1880.0,-37.8377,144.9894
Canterbury,49 Mangarra Rd,5,casa,8000000.0,9.0,3126.0,5,4,2079.0,464.3,1880.0,-37.81788,145.06939
St Kilda,18 Crimea St,5,casa,5046000.0,6.1,3182.0,3,3,1294.0,378.0,1884.0,-37.8589,144.9883
Fitzroy North,2 Scotchmer St,2,casa,1210000.0,3.5,3068.0,1,1,223.0,118.0,1885.0,-37.7829,144.9782
