CD_ITEM,PESO_ITEM,GORDURA_ITEM,VISIBILIDADE_ITEM,TIPO_ITEM,MRP_ITEM,ID_OUTLET,ANO_ABERTURA_OUTLET,TAMANHO_OUTLET,LOCAL_OUTLET,TIPO_OUTLET,VENDAS_OUTLET
FDA15,9.3,Low Fat,0.016047301,Laticínios,249.8092,OUT049,1999,Médio,Local 1,Tipo 1,3735.138
DRC01,5.92,Normal,0.019278216,Refrigerantes,48.2692,OUT018,2009,Médio,Local 3,Tipo 2,443.4228
FDN15,17.5,Low Fat,0.016760075,Carnes,141.618,OUT049,1999,Médio,Local 1,Tipo 1,2097.27
NCD19,8.93,Low Fat,0.0,Itens para casa,53.8614,OUT013,1987,Grande,Local 3,Tipo 1,994.7052
FDP36,10.395,Normal,0.0,Padaria,51.4008,OUT018,2009,Médio,Local 3,Tipo 2,556.6088
FDO10,13.65,Normal,0.012741088999999999,Snacks,57.6588,OUT013,1987,Grande,Local 3,Tipo 1,343.5528
FDY07,11.8,Low Fat,0.0,Frutas e Verduras,45.5402,OUT049,1999,Médio,Local 1,Tipo 1,1516.0266
FDA03,18.5,Normal,0.045463773,Laticínios,144.1102,OUT046,1997,Pequeno,Local 1,Tipo 1,2187.153
FDX32,15.1,Normal,0.1000135,Frutas e Verduras,145.4786,OUT049,1999,Médio,Local 1,Tipo 1,1589.2646
FDS46,17.6,Normal,0.047257328,Snacks,119.6782,OUT046,1997,Pequeno,Local 1,Tipo 1,2145.2076
FDF32,16.35,Low Fat,0.06802430000000001,Frutas e Verduras,196.4426,OUT013,1987,Grande,Local 3,Tipo 1,1977.4260000000002
FDP49,9.0,Normal,0.06908896099999999,Café da manhã,56.3614,OUT046,1997,Pequeno,Local 1,Tipo 1,1547.3192
NCB42,11.8,Low Fat,0.008596051,Saúde e Higiene,115.3492,OUT018,2009,Médio,Local 3,Tipo 2,1621.8888
FDP49,9.0,Normal,0.06919637599999999,Café da manhã,54.3614,OUT049,1999,Médio,Local 1,Tipo 1,718.3982
FDU02,13.35,Low Fat,0.10249212,Laticínios,230.5352,OUT035,2004,Pequeno,Local 2,Tipo 1,2748.4224
FDN22,18.85,Normal,0.138190277,Snacks,250.8724,OUT013,1987,Grande,Local 3,Tipo 1,3775.086
NCB30,14.6,Low Fat,0.025698133999999997,Itens para casa,196.5084,OUT035,2004,Pequeno,Local 2,Tipo 1,1587.2672
FDR28,13.85,Normal,0.025896485,Congelados,165.021,OUT046,1997,Pequeno,Local 1,Tipo 1,4078.025
FDV10,7.645,Normal,0.06669343700000001,Snacks,42.3112,OUT035,2004,Pequeno,Local 2,Tipo 1,1065.28
DRJ59,11.65,Low Fat,0.019356131999999998,Bebidas fortes,39.1164,OUT013,1987,Grande,Local 3,Tipo 1,308.9312
NCS17,18.6,Low Fat,0.080829372,Saúde e Higiene,96.4436,OUT018,2009,Médio,Local 3,Tipo 2,2741.7644
FDP33,18.7,Low Fat,0.0,Snacks,256.6672,OUT018,2009,Médio,Local 3,Tipo 2,3068.0064
DRH01,17.5,Low Fat,0.097904029,Refrigerantes,174.8738,OUT046,1997,Pequeno,Local 1,Tipo 1,2085.2856
NCX29,10.0,Low Fat,0.08929113699999999,Saúde e Higiene,146.7102,OUT049,1999,Médio,Local 1,Tipo 1,3791.0652
DRZ11,8.85,Normal,0.113123893,Refrigerantes,122.5388,OUT018,2009,Médio,Local 3,Tipo 2,1609.9044
FDU02,13.35,Low Fat,0.102511504,Laticínios,230.6352,OUT046,1997,Pequeno,Local 1,Tipo 1,3435.528
FDK43,9.8,Low Fat,0.02681843,Carnes,126.00200000000001,OUT013,1987,Grande,Local 3,Tipo 1,2150.534
FDA46,13.6,Low Fat,0.117818348,Snacks,192.9136,OUT049,1999,Médio,Local 1,Tipo 1,2527.3768
FDC02,21.35,Low Fat,0.06910283099999999,Enlatados,259.9278,OUT018,2009,Médio,Local 3,Tipo 2,6768.5228
FDL50,12.15,Normal,0.042277867000000004,Enlatados,126.5046,OUT013,1987,Grande,Local 3,Tipo 1,373.5138
FDL12,15.85,Normal,0.121632721,Padaria,60.622,OUT046,1997,Pequeno,Local 1,Tipo 1,2576.646
NCL17,7.39,Low Fat,0.067779712,Saúde e Higiene,143.8812,OUT046,1997,Pequeno,Local 1,Tipo 1,3134.5864
FDM40,10.195,Low Fat,0.159803853,Congelados,141.5154,OUT013,1987,Grande,Local 3,Tipo 1,850.8924
FDR13,9.895,Normal,0.028696932,Enlatados,117.0492,OUT013,1987,Grande,Local 3,Tipo 1,810.9444
FDK21,7.905,Low Fat,0.010053105,Snacks,249.0408,OUT018,2009,Médio,Local 3,Tipo 2,6258.52
