"Month","Sales"
"2000-01",266.0
"2000-02",145.9
"2000-03",183.1
"2000-04",119.3
"2000-05",180.3
"2000-06",168.5
"2000-07",231.8
"2000-08",224.5
"2000-09",192.8
"2000-10",122.9
"2000-11",336.5
"2000-12",185.9
"2001-01",194.3
"2001-02",149.5
"2001-03",210.1
"2001-04",273.3
"2001-05",191.4
"2001-06",287.0
"2001-07",226.0
"2001-08",303.6
"2001-09",289.9
"2001-10",421.6
"2001-11",264.5
"2001-12",342.3
"2002-01",339.7
"2002-02",440.4
"2002-03",315.9
"2002-04",439.3
"2002-05",401.3
"2002-06",437.4
"2002-07",575.5
"2002-08",407.6
"2002-09",682.0
"2002-10",475.3
"2002-11",581.3
"2002-12",646.9
